Year,Units,Series,Value
2015-2016,Percentage (%),Forest area net change rate,-0.01
2016-2017,Percentage (%),Forest area net change rate,-0.01
2017-2018,Percentage (%),Forest area net change rate,-0.01
2018-2019,Percentage (%),Forest area net change rate,-0.01
2019-2020,Percentage (%),Forest area net change rate,-0.01
2010,Tonnes/hectare,Above-ground biomass stock in forest,91.16
2015,Tonnes/hectare,Above-ground biomass stock in forest,90.49
2016,Tonnes/hectare,Above-ground biomass stock in forest,90.43
2017,Tonnes/hectare,Above-ground biomass stock in forest,90.43
2018,Tonnes/hectare,Above-ground biomass stock in forest,90.43
2019,Tonnes/hectare,Above-ground biomass stock in forest,90.43
2020,Tonnes/hectare,Above-ground biomass stock in forest,90.43
2010,Percentage (%),Proportion of forest area located within legally established protected areas,8.13
2015,Percentage (%),Proportion of forest area located within legally established protected areas,8.5
2016,Percentage (%),Proportion of forest area located within legally established protected areas,8.5
2017,Percentage (%),Proportion of forest area located within legally established protected areas,8.5
2018,Percentage (%),Proportion of forest area located within legally established protected areas,8.5
2019,Percentage (%),Proportion of forest area located within legally established protected areas,8.5
2020,Percentage (%),Proportion of forest area located within legally established protected areas,8.5
2010,Percentage (%),Proportion of forest area under a long term forest management plan,54.12
2015,Percentage (%),Proportion of forest area under a long term forest management plan,54.35
2016,Percentage (%),Proportion of forest area under a long term forest management plan,57.64
2017,Percentage (%),Proportion of forest area under a long term forest management plan,57.64
2018,Percentage (%),Proportion of forest area under a long term forest management plan,60.71
2019,Percentage (%),Proportion of forest area under a long term forest management plan,60.82
2020,Percentage (%),Proportion of forest area under a long term forest management plan,60.82
2000,Hectares,Forest area under an independently verified forest management certification scheme,5
2001,Hectares,Forest area under an independently verified forest management certification scheme,17
2002,Hectares,Forest area under an independently verified forest management certification scheme,28
2003,Hectares,Forest area under an independently verified forest management certification scheme,58
2004,Hectares,Forest area under an independently verified forest management certification scheme,86
2005,Hectares,Forest area under an independently verified forest management certification scheme,120
2006,Hectares,Forest area under an independently verified forest management certification scheme,124
2007,Hectares,Forest area under an independently verified forest management certification scheme,138
2008,Hectares,Forest area under an independently verified forest management certification scheme,146
2009,Hectares,Forest area under an independently verified forest management certification scheme,143
2010,Hectares,Forest area under an independently verified forest management certification scheme,150
2011,Hectares,Forest area under an independently verified forest management certification scheme,151
2012,Hectares,Forest area under an independently verified forest management certification scheme,148
2013,Hectares,Forest area under an independently verified forest management certification scheme,153
2014,Hectares,Forest area under an independently verified forest management certification scheme,161
2015,Hectares,Forest area under an independently verified forest management certification scheme,166
2016,Hectares,Forest area under an independently verified forest management certification scheme,168
2017,Hectares,Forest area under an independently verified forest management certification scheme,170
2018,Hectares,Forest area under an independently verified forest management certification scheme,164
2019,Hectares,Forest area under an independently verified forest management certification scheme,168
2020,Hectares,Forest area under an independently verified forest management certification scheme,164
