Year,Geography,Public sector components,GeoCode,Value
2015,"","",,1875000000
2016,"","",,1632000000
2017,"","",,1848000000
2018,"","",,1696000000
2019,"","",,2202000000
2020,"","",,1931000000
2015,Canada,Consolidated provincial-territorial and local governments,,1446000000
2015,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,10,9000000
2015,Prince Edward Island,Consolidated provincial-territorial and local governments,11,2000000
2015,Nova Scotia,Consolidated provincial-territorial and local governments,12,27000000
2015,New Brunswick,Consolidated provincial-territorial and local governments,13,22000000
2015,Quebec,Consolidated provincial-territorial and local governments,24,53000000
2015,Ontario,Consolidated provincial-territorial and local governments,35,738000000
2015,Manitoba,Consolidated provincial-territorial and local governments,46,33000000
2015,Saskatchewan,Consolidated provincial-territorial and local governments,47,19000000
2015,Alberta,Consolidated provincial-territorial and local governments,48,436000000
2015,British Columbia,Consolidated provincial-territorial and local governments,59,33000000
2015,Yukon,Consolidated provincial-territorial and local governments,60,53000000
2015,Northwest Territories,Consolidated provincial-territorial and local governments,61,14000000
2015,Nunavut,Consolidated provincial-territorial and local governments,62,6000000
2016,Canada,Consolidated provincial-territorial and local governments,,1328000000
2016,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,10,8000000
2016,Prince Edward Island,Consolidated provincial-territorial and local governments,11,2000000
2016,Nova Scotia,Consolidated provincial-territorial and local governments,12,22000000
2016,New Brunswick,Consolidated provincial-territorial and local governments,13,11000000
2016,Quebec,Consolidated provincial-territorial and local governments,24,52000000
2016,Ontario,Consolidated provincial-territorial and local governments,35,758000000
2016,Manitoba,Consolidated provincial-territorial and local governments,46,35000000
2016,Saskatchewan,Consolidated provincial-territorial and local governments,47,17000000
2016,Alberta,Consolidated provincial-territorial and local governments,48,328000000
2016,British Columbia,Consolidated provincial-territorial and local governments,59,33000000
2016,Yukon,Consolidated provincial-territorial and local governments,60,42000000
2016,Northwest Territories,Consolidated provincial-territorial and local governments,61,13000000
2016,Nunavut,Consolidated provincial-territorial and local governments,62,6000000
2017,Canada,Consolidated provincial-territorial and local governments,,1506000000
2017,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,10,7000000
2017,Prince Edward Island,Consolidated provincial-territorial and local governments,11,2000000
2017,Nova Scotia,Consolidated provincial-territorial and local governments,12,21000000
2017,New Brunswick,Consolidated provincial-territorial and local governments,13,18000000
2017,Quebec,Consolidated provincial-territorial and local governments,24,140000000
2017,Ontario,Consolidated provincial-territorial and local governments,35,862000000
2017,Manitoba,Consolidated provincial-territorial and local governments,46,34000000
2017,Saskatchewan,Consolidated provincial-territorial and local governments,47,20000000
2017,Alberta,Consolidated provincial-territorial and local governments,48,297000000
2017,British Columbia,Consolidated provincial-territorial and local governments,59,52000000
2017,Yukon,Consolidated provincial-territorial and local governments,60,34000000
2017,Northwest Territories,Consolidated provincial-territorial and local governments,61,13000000
2017,Nunavut,Consolidated provincial-territorial and local governments,62,6000000
2018,Canada,Consolidated provincial-territorial and local governments,,1357000000
2018,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,10,6000000
2018,Prince Edward Island,Consolidated provincial-territorial and local governments,11,2000000
2018,Nova Scotia,Consolidated provincial-territorial and local governments,12,36000000
2018,New Brunswick,Consolidated provincial-territorial and local governments,13,19000000
2018,Quebec,Consolidated provincial-territorial and local governments,24,55000000
2018,Ontario,Consolidated provincial-territorial and local governments,35,802000000
2018,Manitoba,Consolidated provincial-territorial and local governments,46,34000000
2018,Saskatchewan,Consolidated provincial-territorial and local governments,47,22000000
2018,Alberta,Consolidated provincial-territorial and local governments,48,295000000
2018,British Columbia,Consolidated provincial-territorial and local governments,59,46000000
2018,Yukon,Consolidated provincial-territorial and local governments,60,20000000
2018,Northwest Territories,Consolidated provincial-territorial and local governments,61,14000000
2018,Nunavut,Consolidated provincial-territorial and local governments,62,6000000
2019,Canada,Consolidated provincial-territorial and local governments,,1665000000
2019,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,10,7000000
2019,Prince Edward Island,Consolidated provincial-territorial and local governments,11,2000000
2019,Nova Scotia,Consolidated provincial-territorial and local governments,12,30000000
2019,New Brunswick,Consolidated provincial-territorial and local governments,13,18000000
2019,Quebec,Consolidated provincial-territorial and local governments,24,106000000
2019,Ontario,Consolidated provincial-territorial and local governments,35,845000000
2019,Manitoba,Consolidated provincial-territorial and local governments,46,35000000
2019,Saskatchewan,Consolidated provincial-territorial and local governments,47,23000000
2019,Alberta,Consolidated provincial-territorial and local governments,48,499000000
2019,British Columbia,Consolidated provincial-territorial and local governments,59,46000000
2019,Yukon,Consolidated provincial-territorial and local governments,60,29000000
2019,Northwest Territories,Consolidated provincial-territorial and local governments,61,17000000
