Year,Geography,Gender,Indigenous identity,GeoCode,Value
2014,"","","",,1.48
2015,"","","",,1.71
2016,"","","",,1.71
2017,"","","",,1.83
2018,"","","",,1.78
2019,"","","",,1.83
2020,"","","",,1.96
2014,Canada,All genders,Indigenous identity,,7.19
2014,Canada,All genders,Non-Indigenous identity,,1.18
2014,Canada,Male,Total,,2.12
2014,Canada,Male,Indigenous identity,,10.87
2014,Canada,Male,Non-Indigenous identity,,1.65
2014,Canada,Female,Total,,0.86
2014,Canada,Female,Indigenous identity,,3.63
2014,Canada,Female,Non-Indigenous identity,,0.71
2014,Newfoundland and Labrador,All genders,Total,10,0.38
2014,Newfoundland and Labrador,All genders,Indigenous identity,,0
2014,Newfoundland and Labrador,All genders,Non-Indigenous identity,,0.41
2014,Newfoundland and Labrador,Male,Total,,0.77
2014,Newfoundland and Labrador,Male,Indigenous identity,,0
2014,Newfoundland and Labrador,Male,Non-Indigenous identity,,0.83
2014,Newfoundland and Labrador,Female,Total,,0
2014,Newfoundland and Labrador,Female,Indigenous identity,,0
2014,Newfoundland and Labrador,Female,Non-Indigenous identity,,0
2014,Prince Edward Island,All genders,Total,11,2.06
2014,Prince Edward Island,All genders,Indigenous identity,,0
2014,Prince Edward Island,All genders,Non-Indigenous identity,,2.1
2014,Prince Edward Island,Male,Total,,4.23
2014,Prince Edward Island,Male,Indigenous identity,,0
2014,Prince Edward Island,Male,Non-Indigenous identity,,4.31
2014,Prince Edward Island,Female,Total,,0
2014,Prince Edward Island,Female,Indigenous identity,,0
2014,Prince Edward Island,Female,Non-Indigenous identity,,0
2014,Nova Scotia,All genders,Total,12,0.64
2014,Nova Scotia,All genders,Indigenous identity,,2.14
2014,Nova Scotia,All genders,Non-Indigenous identity,,0.45
2014,Nova Scotia,Male,Total,,0.87
2014,Nova Scotia,Male,Indigenous identity,,0
2014,Nova Scotia,Male,Non-Indigenous identity,,0.68
2014,Nova Scotia,Female,Total,,0.42
2014,Nova Scotia,Female,Indigenous identity,,4.19
2014,Nova Scotia,Female,Non-Indigenous identity,,0.22
2014,New Brunswick,All genders,Total,13,1.32
2014,New Brunswick,All genders,Indigenous identity,,0
2014,New Brunswick,All genders,Non-Indigenous identity,,1.37
2014,New Brunswick,Male,Total,,1.6
2014,New Brunswick,Male,Indigenous identity,,0
2014,New Brunswick,Male,Non-Indigenous identity,,1.66
2014,New Brunswick,Female,Total,,1.04
2014,New Brunswick,Female,Indigenous identity,,0
2014,New Brunswick,Female,Non-Indigenous identity,,1.08
2014,Quebec,All genders,Total,24,0.89
2014,Quebec,All genders,Indigenous identity,,2.15
2014,Quebec,All genders,Non-Indigenous identity,,0.83
2014,Quebec,Male,Total,,1.19
2014,Quebec,Male,Indigenous identity,,2.12
2014,Quebec,Male,Non-Indigenous identity,,1.11
2014,Quebec,Female,Total,,0.59
2014,Quebec,Female,Indigenous identity,,2.17
2014,Quebec,Female,Non-Indigenous identity,,0.55
2014,Ontario,All genders,Total,35,1.15
2014,Ontario,All genders,Indigenous identity,,5.57
2014,Ontario,All genders,Non-Indigenous identity,,1
2014,Ontario,Male,Total,,1.72
2014,Ontario,Male,Indigenous identity,,9.8
2014,Ontario,Male,Non-Indigenous identity,,1.46
2014,Ontario,Female,Total,,0.59
2014,Ontario,Female,Indigenous identity,,1.55
2014,Ontario,Female,Non-Indigenous identity,,0.55
2014,Manitoba,All genders,Total,46,3.51
2014,Manitoba,All genders,Indigenous identity,,12.88
2014,Manitoba,All genders,Non-Indigenous identity,,1.52
2014,Manitoba,Male,Total,,5.18
2014,Manitoba,Male,Indigenous identity,,19.87
2014,Manitoba,Male,Non-Indigenous identity,,2.09
2014,Manitoba,Female,Total,,1.87
2014,Manitoba,Female,Indigenous identity,,6.12
2014,Manitoba,Female,Non-Indigenous identity,,0.95
2014,Saskatchewan,All genders,Total,47,2.17
2014,Saskatchewan,All genders,Indigenous identity,,6.73
2014,Saskatchewan,All genders,Non-Indigenous identity,,1.29
2014,Saskatchewan,Male,Total,,3.41
2014,Saskatchewan,Male,Indigenous identity,,12.59
2014,Saskatchewan,Male,Non-Indigenous identity,,1.7
2014,Saskatchewan,Female,Total,,0.91
2014,Saskatchewan,Female,Indigenous identity,,1.1
2014,Saskatchewan,Female,Non-Indigenous identity,,0.87
2014,Alberta,All genders,Total,48,2.65
2014,Alberta,All genders,Indigenous identity,,12.23
2014,Alberta,All genders,Non-Indigenous identity,,1.99
2014,Alberta,Male,Total,,3.63
2014,Alberta,Male,Indigenous identity,,17.08
2014,Alberta,Male,Non-Indigenous identity,,2.72
2014,Alberta,Female,Total,,1.65
2014,Alberta,Female,Indigenous identity,,7.53
2014,Alberta,Female,Non-Indigenous identity,,1.24
2014,British Columbia,All genders,Total,59,1.89
2014,British Columbia,All genders,Indigenous identity,,5.17
2014,British Columbia,All genders,Non-Indigenous identity,,1.69
2014,British Columbia,Male,Total,,2.61
2014,British Columbia,Male,Indigenous identity,,8.29
2014,British Columbia,Male,Non-Indigenous identity,,2.27
2014,British Columbia,Female,Total,,1.18
2014,British Columbia,Female,Indigenous identity,,2.17
2014,British Columbia,Female,Non-Indigenous identity,,1.12
2014,Yukon,All genders,Total,60,8.08
2014,Yukon,All genders,Indigenous identity,,11.52
2014,Yukon,All genders,Non-Indigenous identity,,7.03
2014,Yukon,Male,Total,,10.58
2014,Yukon,Male,Indigenous identity,,0
2014,Yukon,Male,Non-Indigenous identity,,13.6
2014,Yukon,Female,Total,,5.49
2014,Yukon,Female,Indigenous identity,,22.34
2014,Yukon,Female,Non-Indigenous identity,,0
2014,Northwest Territories,All genders,Total,61,6.78
2014,Northwest Territories,All genders,Indigenous identity,,13.27
2014,Northwest Territories,All genders,Non-Indigenous identity,,0
2014,Northwest Territories,Male,Total,,8.8
