Year,Geography,Age at time of death,Sex,Causes of death,Value
2015,Canada,30 to 34 years,Both sexes,Malignant neoplasms,16
2015,Canada,30 to 34 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,Canada,30 to 34 years,Both sexes,Diabetes mellitus,1.2
2015,Canada,30 to 34 years,Both sexes,Diseases of heart,5.1
2015,Canada,30 to 34 years,Both sexes,Influenza and pneumonia,0.8
2015,Canada,30 to 34 years,Both sexes,Acute bronchitis and bronchiolitis,0
2015,Canada,30 to 34 years,Both sexes,Chronic lower respiratory diseases,0.1
2015,Canada,30 to 34 years,Males,Malignant neoplasms,11.1
2015,Canada,30 to 34 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,Canada,30 to 34 years,Males,Diabetes mellitus,1.1
2015,Canada,30 to 34 years,Males,Diseases of heart,5.2
2015,Canada,30 to 34 years,Males,Influenza and pneumonia,0.6
2015,Canada,30 to 34 years,Males,Acute bronchitis and bronchiolitis,0
2015,Canada,30 to 34 years,Males,Chronic lower respiratory diseases,0
2015,Canada,30 to 34 years,Females,Malignant neoplasms,25.6
2015,Canada,30 to 34 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2015,Canada,30 to 34 years,Females,Diabetes mellitus,1.4
2015,Canada,30 to 34 years,Females,Diseases of heart,4.9
2015,Canada,30 to 34 years,Females,Influenza and pneumonia,1.2
2015,Canada,30 to 34 years,Females,Acute bronchitis and bronchiolitis,0
2015,Canada,30 to 34 years,Females,Chronic lower respiratory diseases,0.3
2015,Canada,35 to 44 years,Both sexes,Malignant neoplasms,23.5
2015,Canada,35 to 44 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2015,Canada,35 to 44 years,Both sexes,Diabetes mellitus,2.2
2015,Canada,35 to 44 years,Both sexes,Diseases of heart,9.7
2015,Canada,35 to 44 years,Both sexes,Influenza and pneumonia,1.2
2015,Canada,35 to 44 years,Both sexes,Acute bronchitis and bronchiolitis,0
2015,Canada,35 to 44 years,Both sexes,Chronic lower respiratory diseases,0.6
2015,Canada,35 to 44 years,Males,Malignant neoplasms,15.7
2015,Canada,35 to 44 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2015,Canada,35 to 44 years,Males,Diabetes mellitus,2.5
2015,Canada,35 to 44 years,Males,Diseases of heart,11.3
2015,Canada,35 to 44 years,Males,Influenza and pneumonia,1.1
2015,Canada,35 to 44 years,Males,Acute bronchitis and bronchiolitis,0
2015,Canada,35 to 44 years,Males,Chronic lower respiratory diseases,0.3
2015,Canada,35 to 44 years,Females,Malignant neoplasms,36.4
2015,Canada,35 to 44 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2015,Canada,35 to 44 years,Females,Diabetes mellitus,1.7
2015,Canada,35 to 44 years,Females,Diseases of heart,7
2015,Canada,35 to 44 years,Females,Influenza and pneumonia,1.3
2015,Canada,35 to 44 years,Females,Acute bronchitis and bronchiolitis,0
2015,Canada,35 to 44 years,Females,Chronic lower respiratory diseases,1.1
2015,Canada,45 to 54 years,Both sexes,Malignant neoplasms,35.8
2015,Canada,45 to 54 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2015,Canada,45 to 54 years,Both sexes,Diabetes mellitus,2.6
2015,Canada,45 to 54 years,Both sexes,Diseases of heart,14.8
2015,Canada,45 to 54 years,Both sexes,Influenza and pneumonia,1.2
2015,Canada,45 to 54 years,Both sexes,Acute bronchitis and bronchiolitis,0
2015,Canada,45 to 54 years,Both sexes,Chronic lower respiratory diseases,1.6
2015,Canada,45 to 54 years,Males,Malignant neoplasms,27.4
